,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000167642,798.590046,2.734853291,0.312913958,8.739953018,2.33E-18,4.40E-19,SPINT2
ENSG00000239839,21975.16631,8.572375656,0.9830541,8.720146386,2.78E-18,4.95E-19,DEFA3
ENSG00000119411,148.9838263,5.184335546,0.594727535,8.717160786,2.85E-18,5.16E-19,BSPRY
ENSG00000198520,1902.957603,3.965750434,0.456599644,8.685399745,3.77E-18,6.77E-19,ARMH1
ENSG00000151725,386.3590807,4.101034473,0.473792544,8.655759843,4.90E-18,6.80E-19,CENPU
ENSG00000112759,187.419357,3.893053256,0.450280037,8.645849115,5.34E-18,7.34E-19,SLC29A1
ENSG00000137804,521.9250319,3.328885472,0.385287015,8.640014702,5.62E-18,8.81E-19,NUSAP1
ENSG00000140284,320.1820884,4.541379377,0.528503673,8.592900319,8.48E-18,1.40E-18,SLC27A2
ENSG00000189060,2167.391085,4.194278135,0.488303143,8.589496486,8.74E-18,1.40E-18,H1-0
ENSG00000133742,632.072815,8.587693986,1.001352047,8.576098697,9.81E-18,1.41E-18,CA1
ENSG00000165304,78.98519716,4.702588704,0.549051975,8.564924489,1.08E-17,1.54E-18,MELK
ENSG00000132646,1316.268586,2.736572402,0.320228296,8.545692058,1.28E-17,1.78E-18,PCNA
ENSG00000118520,1125.988509,6.506384157,0.761839273,8.540363287,1.34E-17,2.30E-18,ARG1
